GENERAL;X SEXO;ATLETA;T. TOTAL;PEDESTRISMO;PROMEDIO PEDESTRISMO;CICLISMO;PROMEDIO CICLISMO;PEDESTRISMO;PROMEDIO PEDESTRISMO;EQUIPO
57;54;VISCONTI MATIAS;01:14:38;00:22:08;4:26 min/km — 13,55 km/h;00:40:42;2:02 min/km — 29,48 km/h;00:11:48;4:43 min/km — 12,71 km/h;DEPORSUR
58;55;MARTINEZ RAFAEL;01:14:38;00:22:14;4:27 min/km — 13,49 km/h;00:40:57;2:03 min/km — 29,30 km/h;00:11:27;4:35 min/km — 13,10 km/h;EQUIPO KORU
59;56;FERNANDEZ JOAQUIN;01:14:49;00:21:00;4:12 min/km — 14,29 km/h;00:42:50;2:08 min/km — 28,02 km/h;00:10:59;4:24 min/km — 13,66 km/h;MB Coaching
60;4;DE ARMAS MICAELA ;01:14:55;00:21:59;4:24 min/km — 13,65 km/h;00:41:27;2:04 min/km — 28,95 km/h;00:11:29;4:36 min/km — 13,06 km/h;DEPORSUR
61;57;ODRIOZOLA GONZALO;01:14:57;00:21:25;4:17 min/km — 14,01 km/h;00:41:52;2:06 min/km — 28,66 km/h;00:11:40;4:40 min/km — 12,86 km/h;EQUIPO KORU
62;58;DE FREITAS JUAN MANUEL;01:15:01;00:23:03;4:37 min/km — 13,02 km/h;00:40:52;2:03 min/km — 29,36 km/h;00:11:06;4:26 min/km — 13,51 km/h;MB Coaching
63;59;GAITN IGNACIO;01:15:03;00:20:30;4:06 min/km — 14,63 km/h;00:43:04;2:09 min/km — 27,86 km/h;00:11:29;4:36 min/km — 13,06 km/h;DEPORSUR
64;60;GISMERO DAMIAN;01:16:50;00:23:04;4:37 min/km — 13,01 km/h;00:41:05;2:03 min/km — 29,21 km/h;00:12:41;5:04 min/km — 11,83 km/h;EQUIPO KORU
65;61;LACORDELLE JULIO;01:16:54;00:24:00;4:48 min/km — 12,50 km/h;00:40:55;2:03 min/km — 29,33 km/h;00:11:59;4:48 min/km — 12,52 km/h;MB Coaching
66;62;RIVERO ALVARO;01:17:06;00:23:07;4:37 min/km — 12,98 km/h;00:41:02;2:03 min/km — 29,24 km/h;00:12:57;5:11 min/km — 11,58 km/h;DEPORSUR
67;63;OCAMPO EDUARDO;01:17:54;00:24:34;4:55 min/km — 12,21 km/h;00:40:59;2:03 min/km — 29,28 km/h;00:12:21;4:56 min/km — 12,15 km/h;EQUIPO KORU
68;5;LA CRUZ VALENTINA;01:18:03;00:23:32;4:42 min/km — 12,75 km/h;00:42:02;2:06 min/km — 28,55 km/h;00:12:29;5:00 min/km — 12,02 km/h;MB Coaching
69;64;RODRIGUEZ LEONARDO ADRIAN;01:18:22;00:23:34;4:43 min/km — 12,73 km/h;00:42:46;2:08 min/km — 28,06 km/h;00:12:02;4:49 min/km — 12,47 km/h;DEPORSUR
70;65;MEDERO JUAN MANUEL;01:18:28;00:24:13;4:51 min/km — 12,39 km/h;00:40:39;2:02 min/km — 29,52 km/h;00:13:36;5:26 min/km — 11,03 km/h;EQUIPO KORU
71;6;LA CRUZ JULIETA;01:18:42;00:23:30;4:42 min/km — 12,77 km/h;00:41:52;2:06 min/km — 28,66 km/h;00:13:20;5:20 min/km — 11,25 km/h;MB Coaching
72;7;FONTORA JACQUELINE;01:19:11;00:23:17;4:39 min/km — 12,88 km/h;00:43:38;2:11 min/km — 27,50 km/h;00:12:16;4:54 min/km — 12,23 km/h;DEPORSUR
